DraftYear,Round,Pick,Age,GamesPlayed,Completions,Attempts,Yards,Touchdowns,Interceptions,RushAttempts,RushYards,RushTouchdowns,Player,College,Conference,Team,Heisman,Verdict
2002,5,137,24,36,188,369,2973,25,11,127,317,6,Randy Fasani,Stanford,Pac-12,CAR,0,0
2002,5,158,22,42,668,1229,8460,66,33,192,168,7,Kurt Kittner,Illinois,Big Ten,ATL,0,0
2001,2,53,23,29,483,853,6447,35,25,251,606,11,Quincy Carter,Georgia,Southeastern,DAL,0,1
2001,2,59,22,42,418,761,5501,31,28,346,1374,20,Marques Tuiasosopo,Washington,Pac-12,OAK,0,0
2001,4,106,29,36,650,1107,9839,79,32,110,-366,2,Chris Weinke,Florida St.,Atlantic Coast,CAR,1,0
2001,4,125,22,27,254,479,3755,31,17,67,-124,6,Jesse Palmer,Florida,Southeastern,NYG,0,0
2001,5,149,22,34,482,974,6608,41,52,214,185,8,Mike McMahon,Rutgers,Big Ten,DET,0,0
2001,5,155,24,22,149,282,2175,15,6,37,0,1,A.J. Feeley,Oregon,Pac-12,PHI,0,0
2000,1,18,24,38,848,1334,11446,107,30,168,61,4,Chad Pennington,Marshall,Conference USA,NYJ,0,1
2000,3,75,23,43,1031,1679,12541,84,51,167,-412,3,Chris Redman,Louisville,Atlantic Coast,BAL,0,0
2000,5,163,22,38,326,588,4592,32,16,204,614,16,Tee Martin,Tennessee,Southeastern,PIT,0,0
2000,6,168,23,38,630,1023,8153,59,34,107,-326,2,Marc Bulger,West Virginia,Big 12,NOR,0,1
2000,6,183,22,24,334,606,3497,24,19,94,-49,3,Spergon Wynn,Southwest Texas St.,FCS,CLE,0,0
2000,6,199,23,29,395,638,4773,30,17,90,-150,3,Tom Brady,Michigan,Big Ten,NWE,0,1
2000,6,202,22,36,465,872,6564,41,24,99,-136,3,Todd Husak,Stanford,Pac-12,WAS,0,0
2000,7,212,23,33,1015,1552,12746,115,35,153,-103,2,Tim Rattay,Louisiana Tech,Conference USA,SFO,0,0
2000,7,214,23,36,306,536,4820,34,21,272,957,13,Jarious Jackson,Notre Dame,Independent,DEN,0,0
2000,7,234,23,43,629,1020,8882,65,39,501,1758,18,Joe Hamilton,Georgia Tech,Atlantic Coast,TAM,0,0
1999,1,1,22,29,795,1184,8435,74,35,154,-275,4,Tim Couch,Kentucky,Southeastern,CLE,0,1
1999,1,11,22,33,721,1097,9341,72,32,371,1003,19,Daunte Culpepper,UCF,American Athletic,MIN,0,1
1999,1,12,22,47,694,1250,10708,68,41,313,577,16,Cade McNown,UCLA,Pac-12,CHI,0,0
1999,2,50,22,42,669,1201,8695,72,34,369,1158,20,Shaun King,Tulane,American Athletic,TAM,0,1
1999,3,77,23,30,422,776,5742,51,27,114,-39,3,Brock Huard,Washington,Pac-12,SEA,0,0
1999,4,101,24,37,439,741,6370,56,20,111,-276,0,Joe Germaine,Ohio St.,Big Ten,STL,0,0
1999,4,131,23,34,357,651,5118,33,24,199,547,14,Aaron Brooks,Virginia,Atlantic Coast,GNB,0,1
1999,7,227,23,23,244,480,4401,36,13,324,1314,23,Michael Bishop,Kansas St.,Big 12,NWE,0,0
1999,7,245,23,35,281,497,3862,26,15,80,-245,2,Scott Covington,Miami (FL),Atlantic Coast,CIN,0,0
1998,1,1,22,45,863,1381,11201,89,33,153,-181,12,Peyton Manning,Tennessee,Southeastern,IND,0,1
1998,1,2,22,32,473,880,7433,59,24,173,-171,14,Ryan Leaf,Washington St.,Pac-12,SDG,0,0
